Year,House_Type,Price
2012,Detached,454185.85
2012,High-rise,223735.4275
2012,Semi-Detached,465612.0825
2012,Terraced,234933.8575
2013,Detached,516749.7325
2013,High-rise,254114.7175
2013,Semi-Detached,522062.18
2013,Terraced,256910.3125
2014,Detached,565869.385
2014,High-rise,277728.775
2014,Semi-Detached,554402.4775
2014,Terraced,284135.57
2015,Detached,601785.3925
2015,High-rise,299181.73
2015,Semi-Detached,591574.9875
2015,Terraced,303826.0903
2016,Detached,642775.1825
2016,High-rise,326203.9037
2016,Semi-Detached,619766.8772
2016,Terraced,326445.3622
2017,Detached,670558.7325
2017,High-rise,342768.5075
2017,Semi-Detached,644623.69
2017,Terraced,355647.59
2018,Detached,661366.63
2018,High-rise,339457.3925
2018,Semi-Detached,657283.3275
2018,Terraced,379487.6475
2019,Detached,668735.8525
2019,High-rise,341337.08
2019,Semi-Detached,665230.7075
2019,Terraced,392391.6925
2020,Detached,660966.08
2020,High-rise,339859.415
2020,Semi-Detached,664561.8625
2020,Terraced,402850.5625
2021,Detached,641257.8175
2021,High-rise,340759.4625
2021,Semi-Detached,667349.1075
2021,Terraced,413540.4575
2022,Detached,628299.09
2022,High-rise,355806.1825
2022,Semi-Detached,688269.6825
2022,Terraced,431864.8825
